order_id,customer_id,order_date,shipped_date,delivered_date,status,shipping_address,payment_method,payment_status
ORD_00052,CUST_0783,2025-09-11,2025-09-15,,shipped,"3691 Johnson Springs, East Andrea, RI 53465",Debit Card,pending
ORD_00053,CUST_0577,2025-09-11,2025-09-13,2025-09-17,delivered,"7037 Fuentes Prairie Suite 882, Jayfort, MP 85991",Google Pay,failed
ORD_00054,CUST_0369,2024-12-12,2024-12-16,2024-12-20,delivered,"6409 Scott Roads, Michaeltown, WA 88594",Credit Card,paid
ORD_00055,CUST_0292,2025-09-27,2025-09-28,,shipped,"679 Pineda Crossroad Suite 478, New Paulstad, PA 22594",Google Pay,pending
ORD_00056,CUST_0912,2025-04-28,2025-04-29,2025-05-02,delivered,"518 Mckay Inlet Suite 110, Jacksonview, SC 52137",PayPal,pending
ORD_00057,CUST_0877,2025-05-05,2025-05-06,2025-05-09,delivered,"584 Diaz Islands Apt. 326, South Traci, AZ 08186",Google Pay,pending
ORD_00058,CUST_0097,2025-08-05,2025-08-09,2025-08-12,delivered,"6111 Diaz Court, New Katie, UT 46828",PayPal,pending
ORD_00059,CUST_0272,2025-10-12,2025-10-17,2025-10-19,delivered,"5803 Theresa Village, Johnsonland, GA 71122",PayPal,failed
ORD_00060,CUST_0831,2024-11-22,2024-11-23,2024-11-28,delivered,"Unit 6773 Box 1562, DPO AP 83807",Apple Pay,pending
ORD_00061,CUST_0752,2025-04-08,2025-04-14,2025-04-17,delivered,"121 Marc Manor Suite 928, Shanebury, WI 02321",Apple Pay,pending
ORD_00062,CUST_0500,2025-06-12,,,processing,"464 Manuel Road, South Jordanmouth, NC 85434",Google Pay,paid
ORD_00063,CUST_0610,2025-06-12,2025-06-15,,shipped,"543 Mckinney Dam, Johnburgh, CA 92556",Credit Card,refunded
ORD_00064,CUST_0081,2025-05-29,,,cancelled,"17292 Moore Isle Apt. 118, Burtonfurt, RI 09060",Credit Card,failed
ORD_00065,CUST_0357,2025-07-14,2025-07-18,2025-07-19,delivered,"9509 Nielsen Views, Ramirezstad, MP 31083",PayPal,paid
ORD_00066,CUST_0650,2025-08-13,,,cancelled,"PSC 5453, Box 0858, APO AE 17819",Apple Pay,paid
ORD_00067,CUST_0313,2025-05-17,2025-05-18,2025-05-21,delivered,"00768 Meyer Meadow Apt. 682, Youngside, SC 59962",Google Pay,pending
ORD_00068,CUST_0335,2025-09-01,2025-09-07,2025-09-09,delivered,"USS Salazar, FPO AE 32216",PayPal,paid
ORD_00069,CUST_0690,2025-05-17,,,processing,"584 Ashley Alley, Wolfefurt, VT 23180",Apple Pay,refunded
ORD_00070,CUST_0771,2025-09-12,2025-09-17,,shipped,"5271 Olson Walk, Rickstad, TX 21226",Google Pay,paid
ORD_00071,CUST_0228,2025-09-20,2025-09-23,2025-09-27,delivered,"769 Monroe Isle, Port Angela, AK 95742",PayPal,pending
ORD_00072,CUST_0345,2025-02-25,2025-03-01,2025-03-06,delivered,"PSC 4926, Box 9868, APO AE 30541",Credit Card,refunded
ORD_00073,CUST_0269,2024-11-27,2024-12-01,2024-12-06,delivered,"306 Bradley Causeway Suite 289, North Davidport, WI 32356",Apple Pay,pending
ORD_00074,CUST_0781,2025-11-09,2025-11-13,2025-11-18,delivered,"PSC 0605, Box 6299, APO AP 32883",PayPal,refunded
ORD_00075,CUST_0405,2025-04-26,2025-05-01,,shipped,"4107 Sarah Lane Suite 359, Lake Amandamouth, PA 23543",PayPal,pending
ORD_00076,CUST_0249,2025-01-30,2025-02-02,2025-02-06,delivered,"550 Douglas Drives, Meganview, DE 24932",Debit Card,paid
ORD_00077,CUST_0116,2025-04-04,,,processing,"41578 Barron Shoals, Stewartfort, OH 53527",Apple Pay,refunded
ORD_00078,CUST_0375,2025-05-18,2025-05-20,2025-05-23,delivered,"1659 Mckinney Centers, Stephaniechester, MD 25045",Debit Card,paid
ORD_00079,CUST_0789,2025-02-19,2025-02-21,2025-02-24,delivered,"861 Brown Highway Apt. 114, Lake Maria, MO 19406",Google Pay,refunded
ORD_00080,CUST_0639,2025-02-28,2025-03-04,2025-03-05,delivered,"25871 Roberson Glens, Lake Crystal, PA 77469",PayPal,pending
ORD_00081,CUST_0702,2025-03-19,2025-03-21,2025-03-22,delivered,"76652 Diaz Freeway Apt. 761, West Andrea, PR 73307",Credit Card,paid
ORD_00082,CUST_0249,2025-01-12,2025-01-14,,shipped,"080 Alison Circles, Lake Cole, PW 95460",Debit Card,paid
ORD_00083,CUST_0352,2025-05-19,,,processing,"82829 Gray Brooks, East Evan, PR 55559",Credit Card,failed
ORD_00084,CUST_0461,2025-08-24,2025-08-25,2025-08-28,delivered,"14658 Thomas Islands, New Jamesborough, VA 89087",PayPal,pending
ORD_00085,CUST_0209,2025-10-20,2025-10-25,2025-10-28,delivered,"PSC 2048, Box 6013, APO AE 63584",Google Pay,refunded
ORD_00086,CUST_0638,2025-09-18,,,processing,"7954 Natasha Lakes, South Julie, DC 94953",PayPal,paid
ORD_00087,CUST_0386,2025-10-04,2025-10-10,,shipped,"5428 Tabitha Light, West Colleen, DC 06390",Google Pay,paid
ORD_00088,CUST_0262,2025-08-13,2025-08-14,2025-08-17,delivered,"401 Linda Route Suite 966, Sherryside, ND 56435",PayPal,failed
ORD_00089,CUST_0055,2025-06-08,2025-06-14,2025-06-15,delivered,"5605 Allison Mountain, Matthewsberg, AK 11300",Credit Card,refunded
ORD_00090,CUST_0677,2025-05-13,2025-05-19,2025-05-22,delivered,"Unit 6735 Box 4493, DPO AE 54382",Credit Card,paid
ORD_00091,CUST_0300,2024-12-28,2025-01-01,,shipped,"1828 Susan Shore Apt. 844, North Ethan, WV 27866",PayPal,refunded
ORD_00092,CUST_0521,2024-12-25,,,processing,"5357 Vaughan Park, East Julie, CO 52258",Credit Card,failed
ORD_00093,CUST_0497,2025-06-21,2025-06-26,,shipped,"18933 Jennifer Fort, Lewismouth, TX 72681",Credit Card,pending
ORD_00094,CUST_0204,2025-05-14,2025-05-18,2025-05-23,delivered,"03506 Cassandra Light Suite 911, East James, NE 89712",Credit Card,paid
ORD_00095,CUST_0254,2025-05-05,2025-05-08,2025-05-11,delivered,"76611 Lisa Motorway, New Aaron, GA 19103",Apple Pay,refunded
ORD_00096,CUST_0763,2025-03-01,2025-03-02,2025-03-05,delivered,"PSC 6921, Box 5189, APO AA 16566",Debit Card,failed
ORD_00097,CUST_0641,2024-12-28,2024-12-30,2025-01-04,delivered,"132 Christina Mountains, Stantonmouth, MH 99494",Debit Card,paid
ORD_00098,CUST_0641,2024-12-05,2024-12-09,2024-12-10,delivered,"222 Tony Oval, Thomasside, AS 24760",Google Pay,failed
ORD_00099,CUST_0231,2025-09-27,2025-09-30,2025-10-04,delivered,"24689 Brandon Turnpike Apt. 219, North Susanmouth, OR 48703",PayPal,paid
ORD_00100,CUST_0748,2025-09-06,2025-09-11,2025-09-16,delivered,"58452 Tonya Ville Suite 011, Lake Pamela, WV 52085",PayPal,refunded
ORD_00101,CUST_0247,2025-05-04,2025-05-06,,shipped,"1684 Phillip Mountains, Kyleburgh, IN 70618",Apple Pay,failed
ORD_00102,CUST_0932,2025-07-18,2025-07-21,,shipped,"111 Tran Inlet Suite 785, South Ericburgh, AK 69031",Apple Pay,pending
ORD_00103,CUST_0212,2024-12-25,2024-12-27,,shipped,"3037 Powell Glens Apt. 988, Walkerberg, WI 89120",Google Pay,pending
ORD_00104,CUST_0884,2025-07-24,2025-07-27,2025-08-01,delivered,"1210 Tracy Circles, North Amandamouth, AL 79960",PayPal,refunded
ORD_00105,CUST_0931,2025-02-21,,,cancelled,"USS Colon, FPO AP 55888",PayPal,pending
ORD_00106,CUST_0326,2025-02-04,2025-02-09,2025-02-14,delivered,"543 Rodriguez Ways, Jerryshire, OH 66599",Credit Card,pending
ORD_00107,CUST_0326,2025-03-16,2025-03-22,2025-03-23,delivered,"4196 Armstrong Views, Michellefurt, VT 47992",Debit Card,refunded
ORD_00108,CUST_0985,2025-03-22,2025-03-25,2025-03-29,delivered,"616 Edwards Parks, Karenbury, NY 71158",Debit Card,pending
ORD_00109,CUST_0798,2025-04-25,2025-04-26,2025-04-28,delivered,"6590 Thornton Harbor Suite 614, East Aaron, GA 38049",PayPal,paid
ORD_00110,CUST_0781,2025-11-05,2025-11-10,,shipped,"32911 Victor Mews Suite 545, North David, MO 77592",Debit Card,pending
ORD_00111,CUST_0611,2024-11-15,2024-11-17,2024-11-18,delivered,"36361 Myers Divide, New Nancytown, CO 88320",Debit Card,paid
ORD_00112,CUST_0705,2025-08-16,,,cancelled,"48001 Brown Grove Apt. 179, Lake Paul, PA 95877",Apple Pay,pending
ORD_00113,CUST_0515,2025-01-27,2025-01-31,,shipped,"176 Jones Island, Berryfurt, OH 29042",Debit Card,pending
ORD_00114,CUST_0873,2025-01-20,2025-01-24,2025-01-28,delivered,"5876 Matthew Union Apt. 427, Brandonville, WV 61980",PayPal,pending
ORD_00115,CUST_0198,2024-12-16,2024-12-17,2024-12-21,delivered,"46861 Castillo Row, Mckinneybury, WI 42251",Credit Card,failed
ORD_00116,CUST_0974,2025-09-21,2025-09-23,2025-09-25,delivered,"93005 Cuevas Brook Suite 249, North Danielberg, NY 82665",PayPal,paid
ORD_00117,CUST_0182,2025-02-17,2025-02-24,2025-03-01,delivered,"65328 Andrew Locks, Moralesstad, TX 09898",Apple Pay,failed
ORD_00118,CUST_0888,2025-08-26,2025-08-28,2025-09-01,delivered,"426 Ryan Union Apt. 077, Calebtown, PA 29211",Apple Pay,paid
ORD_00119,CUST_0623,2025-11-02,,,processing,"6418 Ward Walks, East Kyle, TX 80782",Apple Pay,failed
ORD_00120,CUST_0404,2025-07-09,2025-07-15,,shipped,"052 John Point, Lake Stephanie, WY 30355",Google Pay,paid
ORD_00121,CUST_0534,2024-11-19,2024-11-23,2024-11-27,delivered,"4281 Cole Islands, Davidfurt, NY 79931",Credit Card,pending
ORD_00122,CUST_0532,2025-03-08,2025-03-12,2025-03-13,delivered,"0488 Alyssa Square Suite 639, Port Scott, DE 44668",Google Pay,refunded
ORD_00123,CUST_0529,2025-09-07,,,cancelled,"8466 Smith Summit Suite 547, Parkerview, IL 85548",Credit Card,pending
ORD_00124,CUST_0299,2025-10-02,2025-10-06,2025-10-09,delivered,"0587 Kylie Green Suite 772, Christensenmouth, MA 48317",Debit Card,refunded
ORD_00125,CUST_0171,2025-02-17,2025-02-20,2025-02-25,delivered,"72979 Martinez Ridges Suite 570, Port Robertfort, NY 79888",Credit Card,pending
ORD_00126,CUST_0475,2025-10-28,2025-11-01,,shipped,"Unit 0628 Box 8981, DPO AA 27108",Credit Card,paid
ORD_00127,CUST_0185,2025-01-18,,,cancelled,"562 Jessica Tunnel, Serranoburgh, MA 71894",Google Pay,pending
ORD_00128,CUST_0403,2025-05-13,2025-05-16,2025-05-20,delivered,"02070 Johnson Track Suite 089, Cathyfurt, VA 65217",Credit Card,pending
ORD_00129,CUST_0465,2025-07-12,2025-07-18,,shipped,"3365 Tammy Forges, North William, MN 88746",PayPal,refunded
ORD_00130,CUST_0093,2025-06-27,2025-06-30,2025-07-02,delivered,"6863 Michael Points Suite 936, New Stevenchester, GA 69142",Credit Card,paid
ORD_00131,CUST_0117,2025-05-10,,,processing,"PSC 1865, Box 9827, APO AE 37632",Apple Pay,failed
ORD_00132,CUST_0088,2025-05-12,2025-05-18,2025-05-22,delivered,"1611 Lawrence Knolls Suite 018, Wilsonberg, NY 50025",Google Pay,pending
ORD_00133,CUST_0388,2025-01-05,2025-01-09,,shipped,"426 Robert Manor Apt. 486, Guerreroborough, ID 95997",Credit Card,pending
ORD_00134,CUST_0935,2025-01-23,2025-01-28,2025-01-30,delivered,"32007 Marcus Haven, Dianebury, IA 27819",PayPal,pending
ORD_00135,CUST_0184,2025-05-22,,,cancelled,"2338 Lisa View, Houstonville, DC 10267",Credit Card,refunded
ORD_00136,CUST_0316,2025-06-15,2025-06-21,2025-06-25,delivered,"1676 James Rue, Douglasland, MO 31181",Debit Card,pending
ORD_00137,CUST_0121,2025-02-11,2025-02-13,2025-02-14,delivered,"21880 Johnson Ville Apt. 948, Claudiaton, CA 79943",Google Pay,failed
ORD_00138,CUST_0013,2024-12-30,2025-01-03,2025-01-07,delivered,"USCGC Dillon, FPO AE 63944",Google Pay,paid
ORD_00139,CUST_0623,2025-10-24,2025-10-26,2025-10-28,delivered,"48110 Stout Mission, South Roberta, FL 42130",Google Pay,refunded
ORD_00140,CUST_0465,2025-02-04,2025-02-08,2025-02-09,delivered,"068 Megan Meadow, New Stephaniestad, MP 47502",Google Pay,paid
ORD_00141,CUST_0251,2025-05-12,2025-05-15,,shipped,"82428 Nash Square Apt. 344, New Amy, MT 25950",Google Pay,pending
ORD_00142,CUST_0051,2025-07-17,2025-07-19,2025-07-20,delivered,"19051 Scott Estates Suite 227, Grossport, IL 90177",Debit Card,paid
ORD_00143,CUST_0149,2025-07-02,2025-07-08,2025-07-13,delivered,"0575 Melissa Drive Suite 703, Wilsonport, MS 44906",Google Pay,failed
ORD_00144,CUST_0340,2024-12-04,2024-12-05,2024-12-06,delivered,"1739 Alexis Mission Apt. 894, Hughesfurt, ND 03905",Apple Pay,pending
ORD_00145,CUST_0166,2025-03-23,,,processing,"05556 Hardin Orchard, Markview, PA 54552",Debit Card,pending
ORD_00146,CUST_0990,2025-04-13,2025-04-19,2025-04-24,delivered,"9975 Robert Camp, Lake David, ID 83893",Debit Card,paid
ORD_00147,CUST_0096,2025-09-09,,,cancelled,"05465 William Fort, Lake Cassandra, MA 32794",Debit Card,failed
ORD_00148,CUST_0378,2024-12-30,2025-01-06,2025-01-07,delivered,"PSC 2882, Box 3948, APO AE 39236",Apple Pay,paid
ORD_00149,CUST_0300,2025-06-21,2025-06-23,2025-06-24,delivered,"541 Weaver Tunnel Apt. 939, Flynnhaven, VA 36747",Debit Card,failed
ORD_00150,CUST_0540,2024-12-09,2024-12-14,2024-12-16,delivered,"90941 Marissa Canyon Apt. 112, South Ashleyborough, NJ 07197",PayPal,paid
ORD_00151,CUST_0112,2025-08-12,2025-08-18,,shipped,"Unit 4705 Box 1914, DPO AA 51224",Google Pay,paid
ORD_00152,CUST_0496,2025-03-02,,,processing,"5921 Shelly Brooks Apt. 888, South Nicholasshire, VI 27353",Google Pay,failed
ORD_00153,CUST_0438,2025-09-11,2025-09-18,,shipped,"2105 Jason Key, Phillipsborough, AR 63817",Debit Card,failed
ORD_00154,CUST_0539,2025-10-05,2025-10-10,,shipped,"9974 Lopez Plaza, Charlesberg, IN 39565",Debit Card,pending
ORD_00155,CUST_0630,2025-01-21,2025-01-25,,shipped,"Unit 9027 Box 9508, DPO AA 57498",Google Pay,refunded
ORD_00156,CUST_0505,2025-05-24,2025-05-29,2025-05-31,delivered,"88237 Rivera Locks Apt. 142, Lake Kevinberg, NJ 76281",Debit Card,pending
ORD_00157,CUST_0002,2025-08-19,2025-08-20,2025-08-24,delivered,"677 Frazier Club Suite 563, South Kevinshire, SC 82922",Credit Card,pending
ORD_00158,CUST_0819,2025-03-18,2025-03-22,,shipped,"8512 Barbara Divide, Nathanfurt, FL 13405",Apple Pay,paid
ORD_00159,CUST_0342,2025-07-14,2025-07-19,2025-07-21,delivered,"097 Williams Harbor Suite 451, Johnsonmouth, NH 78457",Credit Card,pending
ORD_00160,CUST_0707,2024-12-21,2024-12-24,2024-12-25,delivered,"168 Matthew Motorway, Port Christopherport, TN 18666",Debit Card,failed
ORD_00161,CUST_0519,2025-07-27,2025-07-30,,shipped,"87147 Jonathan Shoals, Port Elizabeth, IA 59362",Credit Card,paid
ORD_00162,CUST_0703,2025-05-05,2025-05-08,2025-05-12,delivered,"16104 Saunders Spur Suite 789, Adamsfurt, TX 11094",Google Pay,paid
ORD_00163,CUST_0853,2024-12-25,2024-12-27,2024-12-30,delivered,"847 Corey Estate Suite 808, Markview, WY 40833",Debit Card,refunded
ORD_00164,CUST_0939,2025-07-28,2025-08-04,2025-08-05,delivered,"9728 Kathryn Turnpike Suite 136, New Isaiah, DE 88840",PayPal,refunded
ORD_00165,CUST_0160,2025-02-24,2025-02-28,,shipped,"789 Franklin Courts Suite 383, Hillfurt, RI 18944",Google Pay,failed
ORD_00166,CUST_0474,2025-02-09,2025-02-15,2025-02-16,delivered,"16444 Hall Greens, Tinaview, MS 09530",Google Pay,failed
ORD_00167,CUST_0579,2025-09-16,,,processing,"00471 Anthony Turnpike Apt. 202, Beckstad, MP 00760",Debit Card,paid
ORD_00168,CUST_0214,2025-09-23,2025-09-29,,shipped,"950 Andrea Shores Suite 338, West Dawntown, ME 51667",Debit Card,failed
ORD_00169,CUST_0068,2025-08-04,2025-08-07,2025-08-08,delivered,"268 Gary Way, New Maryborough, NC 03669",Debit Card,refunded
ORD_00170,CUST_0642,2025-11-09,2025-11-16,2025-11-18,delivered,"710 Hood Trail, Oneillport, TX 19393",Google Pay,refunded
ORD_00171,CUST_0192,2025-01-12,2025-01-13,,shipped,"884 Andrew Stream, Karenhaven, SC 89779",Debit Card,failed
ORD_00172,CUST_0727,2024-12-14,2024-12-17,2024-12-21,delivered,"06802 Brown Parkways Apt. 197, Port Wayneberg, IA 09446",Credit Card,refunded
ORD_00173,CUST_0899,2025-04-12,2025-04-15,2025-04-19,delivered,"06380 Jessica Mews, Port Vincent, OH 32762",Debit Card,pending
ORD_00174,CUST_0538,2025-05-09,2025-05-11,2025-05-12,delivered,"USCGC Griffith, FPO AE 27409",Debit Card,paid
ORD_00175,CUST_0797,2025-03-16,2025-03-17,2025-03-21,delivered,"411 Katherine Way, Hughesside, WV 37874",Google Pay,paid
ORD_00176,CUST_0819,2024-12-17,2024-12-22,2024-12-24,delivered,"PSC 6447, Box 1902, APO AA 68403",PayPal,failed
ORD_00177,CUST_0946,2025-10-19,2025-10-25,2025-10-30,delivered,"776 Todd Expressway, New Susan, MS 92628",Debit Card,failed
ORD_00178,CUST_0147,2025-09-03,,,cancelled,"9069 Courtney Lodge Apt. 531, Leeberg, OH 30305",Credit Card,pending
ORD_00179,CUST_0211,2025-03-16,,,processing,"963 Kirby Ferry Apt. 912, Victoriastad, AS 97048",Credit Card,refunded
ORD_00180,CUST_0397,2025-03-28,,,processing,"9719 Ramirez Bypass Suite 159, Hansonville, IL 56326",Google Pay,paid
ORD_00181,CUST_0005,2025-02-20,2025-02-21,2025-02-26,delivered,"483 Holder Camp Apt. 834, Jacquelinefort, MT 68885",Credit Card,failed
ORD_00182,CUST_0479,2025-10-28,2025-10-29,2025-11-03,delivered,"59585 Marcus Springs Apt. 342, New Tiffanyshire, MA 53501",Debit Card,paid
ORD_00183,CUST_0592,2025-10-01,,,cancelled,"64621 Danielle Lake, North Patriciaton, ID 83872",Debit Card,pending
ORD_00184,CUST_0329,2025-01-31,2025-02-02,2025-02-05,delivered,"036 Adrian Parkway, East Alan, LA 34811",Debit Card,failed
ORD_00185,CUST_0792,2025-09-12,2025-09-18,2025-09-19,delivered,"615 Andrea Streets, Sullivanbury, SC 72377",Debit Card,pending
ORD_00186,CUST_0162,2025-02-17,2025-02-18,2025-02-19,delivered,"3969 Moore Tunnel, East Brittany, FL 93793",Google Pay,paid
ORD_00187,CUST_0212,2025-06-15,2025-06-18,2025-06-23,delivered,"8756 Sanchez Loaf, Lisaborough, RI 16360",Debit Card,failed
ORD_00188,CUST_0145,2025-03-19,,,processing,"971 Kevin Streets Apt. 674, Alexandraberg, MN 31318",Debit Card,pending
ORD_00189,CUST_0176,2025-05-11,2025-05-14,2025-05-19,delivered,"8109 Franklin Squares, Barbaraport, GA 84316",Debit Card,refunded
ORD_00190,CUST_0052,2025-04-09,2025-04-10,2025-04-14,delivered,"693 Jones Roads, West Carla, VI 60355",Credit Card,paid
ORD_00191,CUST_0393,2025-09-08,2025-09-09,2025-09-13,delivered,"741 Michelle Mountains Suite 381, Port Thomasville, WI 05976",Apple Pay,pending
ORD_00192,CUST_0722,2025-01-08,2025-01-13,,shipped,"80876 Carr Crescent, Port Reneeview, AK 59019",Apple Pay,failed
ORD_00193,CUST_0320,2025-11-07,2025-11-14,2025-11-16,delivered,"777 Brown Garden Apt. 771, West Kim, NJ 16971",Google Pay,paid
ORD_00194,CUST_0998,2025-04-27,,,cancelled,"1273 Katrina Hill Apt. 080, Jasonmouth, NM 87232",Apple Pay,pending
ORD_00195,CUST_0096,2025-06-06,,,processing,"3645 Nancy Landing Apt. 759, Melissabury, NV 35365",Apple Pay,paid
